Keyword,Similarity Score
"[('ptsd anxiety', 0.8203), ('anxiety healthy', 0.6097), ('car accident', 0.4461), ('severe', 0.2328), ('healthy', 0.1707)]",0.6728582
"[('struggling godd', 0.7127), ('suicidal thought', 0.6879), ('godd', 0.4506), ('thought', 0.2926), ('overthinking', 0.2886)]",0.6723458
"[('adhd anxiety', 0.7035), ('insomnia focus', 0.3328), ('gaba trigger', 0.2362), ('severe', 0.186), ('didnt', 0.0808)]",0.67181593
"[('adhd audhd', 0.8205), ('check adhd', 0.701), ('depression symptom', 0.5453), ('commonly misdiagnosed', 0.2978), ('check', 0.0736)]",0.6717095
"[('postpartum ocd', 0.7877), ('intrusive thought', 0.4011), ('dr amen', 0.3418), ('diagnosed', 0.335), ('happened', 0.1451)]",0.67170453
"[('anxiety child', 0.6043), ('cptsd severe', 0.4942), ('procrastination', 0.4675), ('executive dysfunction', 0.4139), ('doesnt help', 0.1432)]",0.6715472
"[('persistent depressive', 0.7341), ('hate term', 0.4296), ('clinical diagnosis', 0.4042), ('feel like', 0.2983), ('term highfunctioning', 0.2703)]",0.67144126
"[('insomnia anxiety', 0.8357), ('anxiety im', 0.5188), ('im miserable', 0.2737), ('life', 0.1707), ('want', 0.0945)]",0.67128825
"[('anxiety sum', 0.698), ('persistent depression', 0.6803), ('functioning anxiety', 0.6641), ('high functioning', 0.3267), ('persistent', 0.1696)]",0.6710643
"[('trauma depressive', 0.65), ('anxiety pick', 0.618), ('depressive symptom', 0.5546), ('wound', 0.4572), ('symptom', 0.3585)]",0.67099375
"[('adhd dyslexia', 0.5892), ('anxiety depression', 0.4769), ('head pool', 0.4185), ('wonder contributes', 0.3152), ('old banged', 0.1552)]",0.6708144
"[('rumination horrible', 0.6811), ('depressive symptom', 0.6239), ('brain fog', 0.4786), ('got', 0.1376), ('dont think', 0.0925)]",0.6700942
"[('adhd med', 0.6752), ('hyping anxiety', 0.6502), ('anxiety whats', 0.4916), ('whats tip', 0.2575), ('whats', 0.0574)]",0.6700809
"[('depression hard', 0.5529), ('suicidal thought', 0.5269), ('medication worked', 0.461), ('stop week', 0.4276), ('finally thought', 0.1569)]",0.67001307
"[('experienced tiredness', 0.7016), ('dont energy', 0.4509), ('cope focusing', 0.4052), ('ive experienced', 0.2923), ('literally drained', 0.2693)]",0.6699109
"[('horrible ocd', 0.7227), ('anxiety depression', 0.6504), ('depression horrible', 0.5312), ('high', 0.2002), ('functioning', 0.1906)]",0.66965973
"[('podcast disordered', 0.6122), ('health anxiety', 0.4675), ('overdrive cried', 0.3217), ('really helped', 0.3167), ('everyday week', 0.2533)]",0.6695664
"[('migraine mdd', 0.779), ('yep migraine', 0.6579), ('adhd', 0.4862), ('gad', 0.3784), ('yep', 0.1843)]",0.6693335
"[('diagnose depression', 0.8599), ('depression', 0.6608), ('problem diagnose', 0.5663), ('diagnose', 0.5297), ('problem', 0.329)]",0.6692003
"[('anxiety depression', 0.502), ('appetite sweat', 0.4836), ('got symptom', 0.3783), ('attended gyner', 0.2992), ('im alwys', 0.1082)]",0.6689284
"[('depression high', 0.675), ('im diagnosed', 0.5245), ('worse debilitating', 0.492), ('functioning getting', 0.3031), ('think', 0.2088)]",0.66855574
"[('ptsd depression', 0.7826), ('severe anxiety', 0.5968), ('polar', 0.3546), ('severe', 0.2879), ('yup bi', 0.238)]",0.66828716
"[('lorazepam lormetazepam', 0.6969), ('increased anxiety', 0.5269), ('sleep issue', 0.4385), ('disorder took', 0.2383), ('long', 0.0045)]",0.66809136
"[('ocd anxiety', 0.6895), ('haunted', 0.4354), ('depression', 0.4156), ('past mistake', 0.371), ('self image', 0.3677)]",0.6679574
"[('nauseous puke', 0.8816), ('feeling nauseous', 0.8335), ('nauseous', 0.7231), ('puke', 0.6201), ('feeling', 0.4378)]",0.66785944
"[('anxiety depression', 0.7509), ('functioning anxiety', 0.7029), ('im high', 0.4914), ('im', 0.2685), ('functioning', 0.2602)]",0.66760397
"[('insomnia overthinking', 0.7519), ('anxiety dont', 0.561), ('night turn', 0.2639), ('answer severe', 0.163), ('dont know', 0.0069)]",0.6675594
"[('adhd anxiety', 0.7224), ('anxiety late', 0.7141), ('anxiety im', 0.5022), ('im late', 0.4033), ('early', 0.3128)]",0.6674631
"[('depression adhd', 0.695), ('fasd secondary', 0.5634), ('secondary depression', 0.5595), ('anxiety', 0.4578), ('type', 0.089)]",0.66741127
"[('schizoaffective disorder', 0.7151), ('disorder trust', 0.6477), ('brain faulty', 0.5874), ('personality', 0.3427), ('trust say', 0.3305)]",0.66699535
"[('depressive psychosis', 0.8054), ('nihilistic depressive', 0.76), ('oh nihilistic', 0.4181), ('bucket list', 0.376), ('thats', 0.1384)]",0.6669087
"[('anxiety migraine', 0.9377), ('migraine', 0.7801), ('health anxiety', 0.6825), ('anxiety', 0.5902), ('health', 0.3151)]",0.6668573
"[('narcissistic exboyfriend', 0.669), ('suffers ptsd', 0.5443), ('abusive', 0.432), ('bf happy', 0.4249), ('note new', 0.2286)]",0.6666074
"[('asthma attack', 0.6792), ('adrenal overload', 0.5284), ('start panic', 0.3906), ('new info', 0.2812), ('attack', 0.2468)]",0.6663113
"[('sayimgi understand', 0.6682), ('depression help', 0.6574), ('feel', 0.3433), ('ive battled', 0.2471), ('help', 0.2139)]",0.66622454
"[('depression disability', 0.6849), ('tired lifec', 0.5468), ('felt tired', 0.431), ('understand felt', 0.3475), ('heard saying', 0.2101)]",0.66615915
"[('function antidepressant', 0.6705), ('depressed', 0.5462), ('high functioning', 0.3551), ('im simply', 0.2813), ('dont', 0.1327)]",0.6656409
"[('anxiety disorder', 0.6448), ('adhd diagnosed', 0.596), ('cptsd', 0.4389), ('rediagnosed double', 0.2796), ('severe', 0.1802)]",0.66562176
"[('depression ptsd', 0.7189), ('major anxiety', 0.5741), ('face normal', 0.3957), ('life', 0.2264), ('attack hard', 0.2132)]",0.66561115
"[('symptom insomnia', 0.847), ('insomnia sleep', 0.7688), ('sleep', 0.5534), ('symptom', 0.4612), ('worst', 0.238)]",0.6655617
"[('effex depression', 0.712), ('depression', 0.5432), ('wwwcleholistichealthcom', 0.4976), ('mood', 0.3889), ('cured', 0.3533)]",0.6653475
"[('depression ocd', 0.825), ('anxiety depression', 0.6881), ('whit anxiety', 0.6238), ('hard deal', 0.238), ('deal whit', 0.1974)]",0.66520274
"[('autism ptsd', 0.7792), ('functioning anxiety', 0.4991), ('think pity', 0.4054), ('party tell', 0.2917), ('im high', 0.2603)]",0.66509306
"[('sinus tachycardia', 0.8605), ('diagnosed sinus', 0.6818), ('tachycardia year', 0.678), ('diagnosed', 0.3029), ('year', 0.0758)]",0.6650864
"[('symptom cptsd', 0.7595), ('anxiety depression', 0.6196), ('cptsd list', 0.5663), ('list symptom', 0.4851), ('list', 0.1163)]",0.6650327
"[('adhd hyper', 0.736), ('early procrastinate', 0.5043), ('attention', 0.3591), ('bc overwhelmed', 0.233), ('multiple thing', 0.1508)]",0.6648161
"[('thats adhd', 0.8571), ('adhd person', 0.8338), ('adhd', 0.7661), ('person', 0.4124), ('thats', 0.2809)]",0.66468763
"[('anxiety attack', 0.7152), ('feel scared', 0.5158), ('nd feel', 0.3558), ('attack body', 0.205), ('week', 0.1103)]",0.66465217
"[('apnea adhd', 0.8232), ('connection obstructive', 0.3654), ('sleep', 0.3357), ('obstructive', 0.1802), ('discus', -0.0365)]",0.66462266
"[('illness anxiety', 0.7888), ('anxiety disorder', 0.7578), ('thought illness', 0.6557), ('disorder', 0.5347), ('thought', 0.2912)]",0.66456866
"[('adhd bpd', 0.7296), ('fibromyalgia', 0.392), ('turned pot', 0.1858), ('mcas', 0.1454), ('chari', 0.1256)]",0.6641664
"[('nauseous anxious', 0.7939), ('anxiety bad', 0.6893), ('breathing doesnt', 0.3601), ('help tend', 0.1322), ('bad', 0.0491)]",0.6637063
"[('migraine symptom', 0.6117), ('anxiety', 0.4771), ('separate neurological', 0.4702), ('disease', 0.132), ('respectfully', -0.0262)]",0.6636652
"[('type anxiety', 0.8812), ('anxiety symptom', 0.8254), ('anxiety', 0.6592), ('symptom', 0.5301), ('type', 0.3675)]",0.6634668
"[('depression burnout', 0.7034), ('know depression', 0.6583), ('autistic know', 0.543), ('happens', 0.2013), ('know', 0.1776)]",0.66321874
"[('anxiety antidepressant', 0.7134), ('bad anxiety', 0.5603), ('hate body', 0.4761), ('help suffer', 0.4317), ('bad', 0.1097)]",0.6629614
"[('amygdala overdrive', 0.9164), ('anxiety amygdala', 0.8295), ('amygdala', 0.6981), ('anxiety', 0.5895), ('overdrive', 0.4791)]",0.6626731
"[('adhd adult', 0.8856), ('adhd', 0.8341), ('develop adhd', 0.8207), ('adult', 0.435), ('develop', 0.2612)]",0.6625016
"[('therapy exploring', 0.6149), ('adhdautismneurodivergance', 0.5214), ('bpd undiagnosed', 0.4393), ('met voice', 0.2363), ('value need', 0.1821)]",0.66249514
"[('stimulant adhd', 0.7723), ('people anxiety', 0.5423), ('whats point', 0.274), ('view', 0.0894), ('condition', 0.0582)]",0.6624262
"[('anxietypanic disorder', 0.6729), ('drawing crocheting', 0.5273), ('im painting', 0.5182), ('turn light', 0.1967), ('like', 0.0383)]",0.66242385
"[('iron hemochromatosis', 0.735), ('symptom depressionanxiety', 0.5476), ('cause symptom', 0.2861), ('high', 0.1744), ('cause', 0.0985)]",0.66228604
"[('anxiety depression', 0.7464), ('ive diagnosed', 0.511), ('like ive', 0.3366), ('sound like', 0.3028), ('sound', 0.2062)]",0.66222835
"[('anymore anxiety', 0.6923), ('like med', 0.4129), ('arent working', 0.319), ('feel like', 0.3007), ('anymore', 0.1855)]",0.6622125
"[('manic depressive', 0.7281), ('numb time', 0.5308), ('diagnosed', 0.3594), ('reaching hide', 0.2028), ('im', 0.1495)]",0.66217875
"[('diagnosed bpd', 0.729), ('panic anxiety', 0.5636), ('depression', 0.3443), ('think', 0.1361), ('month', 0.0437)]",0.66213065
"[('help depression', 0.7173), ('especially rumination', 0.4526), ('symptom', 0.3184), ('mental', 0.2999), ('professional', 0.0777)]",0.6618819
"[('depressed evening', 0.856), ('feeling depressed', 0.7565), ('depressed', 0.6569), ('evening', 0.5031), ('feeling', 0.3952)]",0.6618223
"[('depression adhd', 0.7373), ('diagnosed anxiety', 0.5903), ('age happy', 0.4417), ('special', 0.1673), ('way new', 0.1223)]",0.6615486
"[('anxiety miss', 0.6398), ('severe anxiety', 0.5969), ('turned boom', 0.4699), ('old self', 0.4653), ('severe', 0.2546)]",0.6614972
"[('anxiety ulcer', 0.8252), ('health anxiety', 0.6524), ('reflux', 0.6358), ('acid', 0.3459), ('health', 0.318)]",0.6613295
"[('takingstarting anxiety', 0.866), ('anxiety medication', 0.8449), ('anxiety', 0.645), ('medication', 0.3392), ('takingstarting', 0.3361)]",0.66130507
"[('video adderall', 0.7279), ('im depressed', 0.3688), ('term effect', 0.3151), ('tried', 0.1397), ('convinced way', 0.1131)]",0.66094756
"[('enxiety depression', 0.883), ('depression long', 0.7468), ('depression', 0.6474), ('enxiety', 0.5665), ('long', 0.2941)]",0.6609446
"[('depression health', 0.6782), ('situational depression', 0.6653), ('health issue', 0.5275), ('thanks situational', 0.401), ('thanks', 0.2787)]",0.6608939
"[('headache stomach', 0.7508), ('caused anxiety', 0.6192), ('physical symptom', 0.4251), ('pain', 0.3229), ('physical', 0.0525)]",0.6607912
"[('menopause started', 0.7163), ('cortisol', 0.5729), ('anxiety related', 0.4716), ('imbalance high', 0.369), ('cause', 0.1671)]",0.6607447
"[('procrastination', 0.7391), ('think anxiety', 0.6472), ('anxiety exists', 0.6268), ('think', 0.3482), ('exists', 0.1612)]",0.66070354
"[('anxiety attack', 0.66), ('im sleeping', 0.5609), ('sleeping tho', 0.5152), ('happens im', 0.3138), ('attack', 0.247)]",0.6606114
"[('tearfulness symptom', 0.9149), ('excessive tearfulness', 0.9014), ('tearfulness', 0.757), ('symptom', 0.4706), ('excessive', 0.2989)]",0.6605741
"[('nightmare anxiety', 0.6549), ('mdd shake', 0.6098), ('anxiety disorder', 0.54), ('disorder', 0.4173), ('night wicked', 0.3917)]",0.66044575
"[('anxiety diagno', 0.6493), ('hypoglycaemia pot', 0.4296), ('think medical', 0.3864), ('feel doom', 0.3669), ('seriously gp', 0.2681)]",0.66044134
"[('anxiety attack', 0.6209), ('breathing help', 0.5405), ('lose job', 0.2952), ('constantly', 0.1515), ('im start', 0.117)]",0.6604248
"[('dizzy feeling', 0.7762), ('dizzy', 0.7184), ('feeling anxious', 0.6243), ('anxious', 0.5459), ('feeling', 0.3345)]",0.6601934
"[('hypochondriac symptomsmy', 0.7024), ('anxiety make', 0.534), ('brush', 0.3011), ('brain tell', 0.2154), ('make worse', 0.2103)]",0.6599258
"[('age hallucination', 0.6417), ('psychotic depression', 0.6052), ('sadly episode', 0.4523), ('depression age', 0.4294), ('happened', 0.232)]",0.65990335
"[('manic episode', 0.8366), ('im manic', 0.7548), ('episode relate', 0.6126), ('relate', 0.4013), ('im', 0.2475)]",0.65989465
"[('depersonalization disorder', 0.7818), ('talk derealization', 0.7663), ('derealization depersonalization', 0.7648), ('disorder', 0.4806), ('talk', 0.3649)]",0.6598737
"[('cbt therapy', 0.6945), ('health anxiety', 0.6452), ('therapy im', 0.4734), ('suffer', 0.3518), ('im struggling', 0.2568)]",0.6598153
"[('battle depression', 0.8227), ('depression anxiety', 0.8064), ('anxiety', 0.6313), ('depression', 0.6251), ('battle', 0.4617)]",0.65967625
"[('depression year', 0.8085), ('dealing depression', 0.7363), ('depression', 0.6306), ('ive dealing', 0.4856), ('year', 0.374)]",0.65954757
"[('normal cortisol', 0.6917), ('anxiety symptom', 0.602), ('feel crummy', 0.3981), ('bad trigger', 0.3949), ('level', 0.1461)]",0.6595222
"[('autistic burnout', 0.7702), ('depression staying', 0.477), ('bed actually', 0.3313), ('used think', 0.2417), ('good helpful', 0.2269)]",0.6595108
"[('ive anxiety', 0.7171), ('life debilitating', 0.3472), ('process changing', 0.2631), ('brain', 0.2531), ('start', 0.1397)]",0.6594269
"[('young depression', 0.6277), ('depression experience', 0.6272), ('mom say', 0.4555), ('experience symptom', 0.4432), ('im', 0.1217)]",0.6593969
"[('acid reflux', 0.802), ('anxiety acid', 0.7797), ('reflux', 0.7434), ('anxiety', 0.6426), ('acid', 0.4273)]",0.6593565
"[('anxiety bad', 0.6), ('mood day', 0.4807), ('feel worse', 0.4534), ('exercise', 0.4168), ('little bit', 0.0517)]",0.6593113
"[('overly anxious', 0.6582), ('condition feeling', 0.6256), ('help condition', 0.4077), ('feeling overly', 0.3807), ('help', 0.1478)]",0.65907484
"[('feel lonely', 0.7254), ('mental health', 0.6637), ('health bad', 0.5017), ('mental', 0.4394), ('bad feel', 0.4386)]",0.65873915
"[('bipolar adhd', 0.7388), ('comorbidities involved', 0.4641), ('dysphoria', 0.4445), ('gender', 0.285), ('especially', 0.0765)]",0.65861195
"[('wearing mask', 0.687), ('depression anxietydont', 0.462), ('anymoreim tired', 0.2211), ('ive', 0.1385), ('got', 0.1189)]",0.6585157
"[('verge depression', 0.7025), ('depression', 0.6142), ('thought life', 0.4835), ('going', 0.2856), ('great im', 0.275)]",0.65844554
"[('crippling depression', 0.893), ('realized crippling', 0.6395), ('depression', 0.6195), ('crippling', 0.5889), ('realized', 0.2647)]",0.6584412
"[('im lexapro', 0.5729), ('health anxiety', 0.5663), ('went svt', 0.3519), ('son spiraled', 0.2299), ('major', 0.1177)]",0.65839267
"[('cystic fibrosis', 0.6348), ('health anxiety', 0.5172), ('baby born', 0.3272), ('awful', 0.1375), ('ago iv', 0.1042)]",0.6582017
"[('sign alzheimers', 0.6022), ('pretty adhd', 0.5398), ('video early', 0.4047), ('whats difference', 0.2786), ('early sign', 0.2637)]",0.65817404
"[('beating anxiety', 0.7279), ('anxiety', 0.6688), ('heart beating', 0.5877), ('heart', 0.4354), ('beating', 0.2856)]",0.65815073
"[('panic attack', 0.6053), ('agree sign', 0.3858), ('diagnosed', 0.3123), ('attack year', 0.3058), ('month ago', 0.2617)]",0.658141
"[('illness relentless', 0.6385), ('chronic illness', 0.6024), ('suicidal ideation', 0.562), ('bound chronic', 0.5346), ('bed bound', 0.46)]",0.65811616
"[('carefree anxiety', 0.8188), ('im anxious', 0.625), ('life carefree', 0.5784), ('life', 0.3248), ('im im', 0.2809)]",0.658074
"[('bipolar menopause', 0.8616), ('menopause rough', 0.712), ('bipolar', 0.5471), ('time', 0.2274), ('rough', 0.2252)]",0.6580657
"[('moodiness adhd', 0.6679), ('talk aggressiveness', 0.5606), ('kill', 0.2618), ('day', 0.2168), ('bad', 0.1935)]",0.65805936
"[('probably adhd', 0.6676), ('focus anxiety', 0.6544), ('impulse control', 0.3955), ('hyper', 0.3564), ('ask feel', 0.1702)]",0.6580537
"[('depression anxiety', 0.5873), ('dad like', 0.4609), ('lazy feel', 0.3663), ('drowning deeper', 0.2385), ('im', 0.1006)]",0.65796757
"[('adhd distractability', 0.7521), ('procrastination', 0.5217), ('cause anxiety', 0.4301), ('interesting', 0.2353), ('felt', 0.1923)]",0.6579516
"[('antidepressant alzheimers', 0.9267), ('correlation antidepressant', 0.7844), ('antidepressant', 0.6755), ('alzheimers', 0.5424), ('correlation', 0.3336)]",0.65792096
"[('anxiety broken', 0.8468), ('health anxiety', 0.7747), ('anxiety', 0.6546), ('health', 0.481), ('broken', 0.3881)]",0.6576978
"[('chronic depression', 0.769), ('psychologist', 0.564), ('depression ive', 0.5176), ('ive life', 0.3523), ('told', 0.308)]",0.6576934
"[('diagnosed anxiety', 0.6303), ('im heartbroken', 0.4324), ('numb thing', 0.4216), ('ive', 0.2159), ('know deep', 0.1664)]",0.65765935
"[('think anxiety', 0.8758), ('anxiety severe', 0.6777), ('thought', 0.4862), ('severe', 0.2535), ('interesting', 0.2482)]",0.65753365
"[('hypochondriac', 0.6606), ('differentiate anxiety', 0.588), ('symptom underlying', 0.4317), ('exhausting', 0.247), ('condition read', 0.243)]",0.65751934
"[('adhd', 0.6821), ('cause anxiety', 0.6679), ('adhd cause', 0.6648), ('anxiety', 0.5651), ('cause', 0.14)]",0.6574433
"[('antidepressant help', 0.6453), ('therapy talk', 0.5586), ('overthinking mind', 0.3952), ('help promise', 0.1681), ('problem really', 0.1638)]",0.65741533
"[('depression high', 0.745), ('took year', 0.4283), ('diagnosed', 0.4151), ('functioning', 0.3309), ('high', 0.232)]",0.6573038
"[('anxiety suck', 0.7365), ('muscle twitching', 0.5652), ('single symptom', 0.4464), ('causing think', 0.3467), ('worst', 0.2095)]",0.65727234
"[('adhd anxiety', 0.7483), ('bracelet choker', 0.4406), ('like eat', 0.2862), ('eas', 0.2338), ('making looming', 0.2117)]",0.65724474
"[('wake anxiety', 0.8422), ('anxiety morning', 0.818), ('anxiety', 0.6), ('morning hard', 0.5905), ('hard', 0.1441)]",0.6571845
"[('dizzy nauseous', 0.6999), ('ive panic', 0.5162), ('way october', 0.2596), ('omg', 0.2188), ('attack way', 0.1476)]",0.65716124
"[('overwelming amygdala', 0.7968), ('nutrition deficency', 0.5321), ('nutrition', 0.4838), ('deficency overwelming', 0.2295), ('infection', 0.0848)]",0.6571512
"[('effect adhd', 0.7192), ('like anxiety', 0.6087), ('effect', 0.2982), ('feel', 0.2479), ('like', 0.1123)]",0.6571058
"[('feel cold', 0.6532), ('head hurt', 0.6471), ('fever', 0.5535), ('feel', 0.3341), ('nauseous', 0.299)]",0.657041
"[('low dopamine', 0.6078), ('anxiety related', 0.5275), ('neuropsy assessment', 0.493), ('assessment week', 0.1821), ('im', 0.0756)]",0.65700424
"[('antidepressant mdd', 0.7334), ('ive went', 0.3657), ('taking', 0.3145), ('im', 0.2818), ('thing', 0.1216)]",0.6569545
"[('depression dont', 0.6664), ('medication', 0.4065), ('extremely happy', 0.3119), ('help plus', 0.2983), ('im', 0.1863)]",0.6569065
"[('tested adhd', 0.6248), ('depression stem', 0.3458), ('feel anxiety', 0.3443), ('mdd fought', 0.3359), ('daughter', 0.1695)]",0.65685034
"[('health anxiety', 0.6505), ('right hospital', 0.3811), ('really suffering', 0.2842), ('leave house', 0.2784), ('im', 0.0896)]",0.6567928
"[('panic attackanxiety', 0.8635), ('regular anxiety', 0.7397), ('attack regular', 0.2221), ('sound like', 0.2028), ('sound', 0.1619)]",0.6566951
"[('avoided ssri', 0.6987), ('feel worse', 0.3853), ('med', 0.3372), ('success story', 0.1458), ('need', 0.0363)]",0.65659654
"[('generalized anxiety', 0.8579), ('anxiety disorder', 0.7946), ('anxiety', 0.699), ('disorder', 0.5333), ('generalized', 0.3898)]",0.6565963
"[('diagnosed lupus', 0.5289), ('menopause struggling', 0.5034), ('anxiety help', 0.4947), ('hallo professor', 0.2641), ('ago wake', 0.1238)]",0.65650827
"[('video anxiety', 0.7978), ('thinking', 0.3976), ('beautiful dr', 0.3769), ('intrusive', 0.3004), ('control persistent', 0.2601)]",0.65647995
"[('menopause thyroid', 0.6963), ('thyroid mental', 0.5933), ('mental health', 0.3678), ('peri', 0.3363), ('im struggling', 0.2314)]",0.6564429
"[('peri menopause', 0.6704), ('distinguish adhd', 0.6299), ('depression peri', 0.5904), ('depression', 0.4016), ('distinguish', 0.1447)]",0.65634596
"[('im anxiety', 0.6968), ('life bad', 0.389), ('went gp', 0.2918), ('told everyday', 0.2556), ('help', 0.2075)]",0.65630496
"[('depression pnes', 0.6683), ('tension headache', 0.6232), ('ptsd', 0.52), ('gad', 0.3212), ('mild', 0.1832)]",0.65627635
"[('got adhd', 0.6077), ('psychic doctor', 0.5876), ('stop med', 0.4814), ('month finally', 0.2438), ('believe', 0.1434)]",0.65626115
"[('anxietypanic disorder', 0.7154), ('experience pt', 0.2789), ('ive tried', 0.2593), ('say work', 0.1131), ('read lot', 0.0865)]",0.65613407
"[('fibromyalgia health', 0.6477), ('anxiety permanently', 0.4846), ('november diagnosis', 0.342), ('away job', 0.3004), ('think new', 0.1102)]",0.6561149
"[('mania diagnosed', 0.6509), ('feel symptom', 0.4276), ('specifically hypo', 0.3179), ('lesser scale', 0.2312), ('talk', 0.1546)]",0.65609294
"[('heart palpitation', 0.6005), ('thank panic', 0.464), ('drs', 0.352), ('attack overthinking', 0.1837), ('went', 0.1218)]",0.65606236
"[('pain fibromyalgia', 0.7952), ('anxiety', 0.5637), ('pain', 0.3897), ('brings', 0.0973), ('lot', 0.0769)]",0.6560581
"[('manic depressive', 0.7829), ('depressive med', 0.6936), ('yr med', 0.6011), ('med', 0.5013), ('yr', 0.2484)]",0.6560193
"[('developed agoraphobia', 0.8874), ('agoraphobia', 0.8241), ('lol developed', 0.5288), ('developed', 0.3058), ('lol', 0.2786)]",0.65592724
"[('mind anxiety', 0.6155), ('introvert manage', 0.5935), ('depression', 0.4375), ('manage coup', 0.4142), ('negative', 0.2117)]",0.6558696
"[('depressed adhd', 0.8321), ('adhd', 0.7912), ('youre depressed', 0.5677), ('id youre', 0.4632), ('id', 0.3764)]",0.65582925
"[('depression fun', 0.8375), ('clinical depression', 0.7726), ('battling clinical', 0.5405), ('fun', 0.3497), ('battling', 0.2941)]",0.6557277
"[('acid reflux', 0.7776), ('anxiety acid', 0.7594), ('reflux', 0.7293), ('anxiety', 0.6449), ('acid', 0.4424)]",0.6556131
"[('flupentixol citalopram', 0.6844), ('prescribed', 0.4667), ('depression', 0.3496), ('im afraid', 0.0888), ('different especially', 0.0638)]",0.6554224
"[('health anxiety', 0.5397), ('mom passed', 0.5288), ('young teen', 0.2799), ('exhausting know', 0.2627), ('away', 0.0903)]",0.65538096
"[('depression stopped', 0.7306), ('quit marijuana', 0.6475), ('cigarette drinking', 0.3774), ('im taking', 0.2836), ('way better', 0.0415)]",0.6553618
"[('feeling depressed', 0.7485), ('feel guilty', 0.7098), ('im feeling', 0.478), ('guilty im', 0.4597), ('anxious', 0.4585)]",0.65535784
"[('health anxiety', 0.7844), ('anxiety vicious', 0.7007), ('vicious cycle', 0.4798), ('health', 0.3554), ('severe', 0.2416)]",0.65533745
"[('microdoses lithium', 0.6612), ('werent bipolar', 0.6046), ('depression microdoses', 0.6007), ('question depression', 0.3674), ('question', 0.1307)]",0.6553242
"[('functioning depression', 0.6984), ('depression', 0.6646), ('low functioning', 0.6025), ('got low', 0.4875), ('got', 0.2346)]",0.6553156
"[('caffeine trigger', 0.6349), ('anxiety', 0.522), ('metabolizer feel', 0.5196), ('maybe slow', 0.3135), ('avg person', 0.2496)]",0.65528923
"[('anxiety trauma', 0.686), ('born disorder', 0.5874), ('thinking anxiety', 0.5766), ('disorder different', 0.4994), ('different thinking', 0.315)]",0.6552845
"[('anxiety breathing', 0.7922), ('medicated anxiety', 0.7494), ('breathing doesnt', 0.4921), ('medicated', 0.4266), ('doesnt work', 0.2583)]",0.65522164
"[('add phobia', 0.853), ('phobia panic', 0.8384), ('panic attack', 0.6768), ('add add', 0.3254), ('attack', 0.2696)]",0.6551772
"[('severe rumination', 0.689), ('need therapy', 0.4897), ('event experienced', 0.26), ('recently lasted', 0.1959), ('defo need', 0.0838)]",0.6551647
"[('xanax anxiety', 0.8054), ('anxiety big', 0.5623), ('ive started', 0.2891), ('big difference', 0.231), ('taking', 0.2238)]",0.6550366
"[('clinical depression', 0.7318), ('depression terrible', 0.7314), ('everyday clinical', 0.5349), ('battle everyday', 0.474), ('terrible', 0.2486)]",0.6550235
